#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
1.0000000000e-08	1.0000000000e+03	1.3465799600e+11	7.2429705160e+10	2.3261316550e+00	2.9364940295e-04	2.4550863489e-07	4.9479377717e-04	4.1853039130e-18	3.5803109362e-14
1.0256779307e-08	1.0000000000e+03	1.3811575676e+11	7.4289550113e+10	2.3261320265e+00	2.9366637503e-04	2.4552279322e-07	4.9479384145e-04	4.4027529157e-18	3.6722476232e-14
1.0520152176e-08	1.0000000000e+03	1.4166230593e+11	7.6197152036e+10	2.3261323932e+00	2.9368309868e-04	2.4553674422e-07	4.9479390494e-04	4.6315034433e-18	3.7665450763e-14
1.0790287915e-08	1.0000000000e+03	1.4529992343e+11	7.8153737229e+10	2.3261327553e+00	2.9369957542e-04	2.4555048918e-07	4.9479396766e-04	4.8721430485e-18	3.8632639153e-14
1.1067360181e-08	1.0000000000e+03	1.4903094770e+11	8.0160563481e+10	2.3261331128e+00	2.9371580687e-04	2.4556402943e-07	4.9479402962e-04	5.1252898370e-18	3.9624663168e-14
1.1351547089e-08	1.0000000000e+03	1.5285777725e+11	8.2218920879e+10	2.3261334658e+00	2.9373179468e-04	2.4557736636e-07	4.9479409081e-04	5.3915940561e-18	4.0642160539e-14
1.1643031329e-08	1.0000000000e+03	1.5678287216e+11	8.4330132635e+10	2.3261338142e+00	2.9374754059e-04	2.4559050140e-07	4.9479415126e-04	5.6717397669e-18	4.1685785371e-14
1.1942000281e-08	1.0000000000e+03	1.6080875567e+11	8.6495555940e+10	2.3261341582e+00	2.9376304637e-04	2.4560343604e-07	4.9479421098e-04	5.9664466024e-18	4.2756208567e-14
1.2248646138e-08	1.0000000000e+03	1.6493801584e+11	8.8716582835e+10	2.3261344979e+00	2.9377831385e-04	2.4561617180e-07	4.9479426996e-04	6.2764716176e-18	4.3854118257e-14
1.2563166025e-08	1.0000000000e+03	1.6917330718e+11	9.0994641105e+10	2.3261348331e+00	2.9379334492e-04	2.4562871026e-07	4.9479432823e-04	6.6026112359e-18	4.4980220241e-14
