#grid point     #iterations     #chem_iter      #cond_iter      converged               elem_conserved          p (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (u)                   e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               0               8               0               ok                      ok                      1.0000000000e-08        1.0000000000e+03        1.3465799600e+11        7.2429705160e+10        2.3261316550e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               0               8               0               ok                      ok                      1.0256779307e-08        1.0000000000e+03        1.3811575676e+11        7.4289550113e+10        2.3261320265e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               0               8               0               ok                      ok                      1.0520152176e-08        1.0000000000e+03        1.4166230593e+11        7.6197152036e+10        2.3261323932e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               0               8               0               ok                      ok                      1.0790287915e-08        1.0000000000e+03        1.4529992343e+11        7.8153737229e+10        2.3261327553e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               0               8               0               ok                      ok                      1.1067360181e-08        1.0000000000e+03        1.4903094770e+11        8.0160563481e+10        2.3261331128e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               0               8               0               ok                      ok                      1.1351547089e-08        1.0000000000e+03        1.5285777725e+11        8.2218920879e+10        2.3261334658e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               0               8               0               ok                      ok                      1.1643031329e-08        1.0000000000e+03        1.5678287216e+11        8.4330132635e+10        2.3261338142e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               0               8               0               ok                      ok                      1.1942000281e-08        1.0000000000e+03        1.6080875567e+11        8.6495555940e+10        2.3261341582e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               0               8               0               ok                      ok                      1.2248646138e-08        1.0000000000e+03        1.6493801584e+11        8.8716582835e+10        2.3261344979e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               0               8               0               ok                      ok                      1.2563166025e-08        1.0000000000e+03        1.6917330718e+11        9.0994641105e+10        2.3261348331e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              0               8               0               ok                      ok                      1.2885762132e-08        1.0000000000e+03        1.7351735233e+11        9.3331195198e+10        2.3261351641e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
11              0               8               0               ok                      ok                      1.3216641839e-08        1.0000000000e+03        1.7797294389e+11        9.5727747164e+10        2.3261354909e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
12              0               8               0               ok                      ok                      1.3556017853e-08        1.0000000000e+03        1.8254294613e+11        9.8185837626e+10        2.3261358135e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
13              0               8               0               ok                      ok                      1.3904108341e-08        1.0000000000e+03        1.8723029689e+11        1.0070704676e+11        2.3261361320e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
14              0               8               0               ok                      ok                      1.4261137072e-08        1.0000000000e+03        1.9203800944e+11        1.0329299534e+11        2.3261364463e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
15              0               8               0               ok                      ok                      1.4627333562e-08        1.0000000000e+03        1.9696917443e+11        1.0594534572e+11        2.3261367567e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
16              0               8               0               ok                      ok                      1.5002933220e-08        1.0000000000e+03        2.0202696186e+11        1.0866580297e+11        2.3261370630e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
17              0               8               0               ok                      ok                      1.5388177500e-08        1.0000000000e+03        2.0721462313e+11        1.1145611593e+11        2.3261373654e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
18              0               8               0               ok                      ok                      1.5783314057e-08        1.0000000000e+03        2.1253549315e+11        1.1431807836e+11        2.3261376640e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
19              0               8               0               ok                      ok                      1.6188596902e-08        1.0000000000e+03        2.1799299244e+11        1.1725353006e+11        2.3261379587e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
20              0               8               0               ok                      ok                      1.6604286572e-08        1.0000000000e+03        2.2359062937e+11        1.2026435808e+11        2.3261382496e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              0               8               0               ok                      ok                      1.7030650293e-08        1.0000000000e+03        2.2933200238e+11        1.2335249794e+11        2.3261385368e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              0               8               0               ok                      ok                      1.7467962151e-08        1.0000000000e+03        2.3522080232e+11        1.2651993484e+11        2.3261388203e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
