,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
R_p,1.784,0.004,1.777,1.79,0.0,0.0,189.0,127.0,
T_iso,1041.292,33.624,982.654,1102.088,2.745,1.73,142.0,154.0,
log_10_H_cld,-0.133,0.423,-0.972,0.5,0.031,0.015,179.0,154.0,
log_10_cld_r,-1.706,0.386,-2.384,-1.088,0.025,0.017,267.0,177.0,
log_10_f_CH4,-7.73,1.089,-9.909,-6.226,0.096,0.079,150.0,79.0,
log_10_f_CO,-2.525,0.265,-3.077,-2.151,0.018,0.016,213.0,154.0,
log_10_f_CO2,-7.834,1.137,-10.179,-6.26,0.086,0.059,157.0,154.0,
log_10_f_H-,-10.748,0.113,-10.94,-10.531,0.009,0.006,153.0,154.0,
log_10_f_H2O,-3.436,0.113,-3.625,-3.215,0.008,0.006,199.0,224.0,
log_10_f_K,-8.795,0.415,-9.636,-8.098,0.029,0.028,233.0,136.0,
log_10_f_Na,-8.774,1.458,-11.395,-6.31,0.112,0.051,161.0,135.0,
log_10_g,2.693,0.02,2.655,2.729,0.001,0.001,233.0,185.0,
log_10_k_0,-2.161,1.573,-4.782,0.708,0.105,0.06,239.0,183.0,
log_10_k_1,-1.797,1.291,-3.94,0.809,0.081,0.069,258.0,179.0,
log_10_k_2,-3.742,1.973,-5.999,0.161,0.141,0.099,202.0,217.0,
log_10_k_3,-1.473,1.561,-4.269,0.988,0.104,0.071,220.0,159.0,
log_10_k_4,-1.623,1.777,-4.687,0.992,0.182,0.066,137.0,176.0,
log_10_k_5,-1.798,1.607,-5.525,0.448,0.111,0.08,210.0,182.0,
log_10_k_6,-1.835,1.547,-4.464,0.857,0.098,0.065,257.0,121.0,
log_10_k_7,-3.379,1.406,-5.809,-1.118,0.104,0.058,180.0,225.0,
log_10_p_base,-1.641,1.116,-3.681,0.294,0.079,0.049,211.0,182.0,
log_10_q_c_0,-3.853,1.523,-6.412,-0.939,0.118,0.09,155.0,86.0,
n_0,1.455,0.631,0.413,2.553,0.045,0.024,200.0,214.0,
n_1,1.814,0.535,0.963,2.856,0.041,0.023,174.0,210.0,
n_2,2.133,0.522,1.262,2.999,0.038,0.03,186.0,176.0,
n_3,1.475,0.602,0.513,2.522,0.043,0.029,195.0,159.0,
n_4,1.268,0.582,0.407,2.305,0.044,0.03,163.0,217.0,
n_5,1.608,0.707,0.465,2.83,0.054,0.025,161.0,185.0,
n_6,1.972,0.633,0.923,2.999,0.048,0.022,182.0,219.0,
n_7,1.172,0.535,0.403,2.252,0.04,0.026,172.0,219.0,
sigma,1.566,0.217,1.214,2.0,0.015,0.011,210.0,185.0,
