# wavelength_um flux_convolved
2.999955944274882e-01 1.059896480685232e+12
3.000105942072097e-01 6.125077154168522e+11
3.000255947369200e-01 7.845731928535754e+11
3.000405960166569e-01 3.053931632806796e+11
3.000555980464576e-01 6.292058005127571e+11
3.000706008263600e-01 9.743384299971044e+11
3.000856043564013e-01 9.781812207709553e+11
3.001006086366191e-01 9.553775190426624e+11
3.001156136670510e-01 8.995232214060458e+11
3.001306194477344e-01 5.200603664212470e+11
3.001456259787068e-01 5.800900111989084e+11
3.001606332600057e-01 4.769531188362499e+11
3.001756412916687e-01 1.018445455413213e+11
3.001906500737332e-01 1.844732184437393e+11
3.002056596062370e-01 4.764558765630322e+11
3.002206698892173e-01 7.084015939684886e+11
3.002356809227117e-01 8.164691257197821e+11
3.002506927067579e-01 9.939583510018173e+11
3.002657052413932e-01 1.035935958150291e+12
3.002807185266553e-01 9.105183564636781e+11
3.002957325625816e-01 8.996932417651083e+11
3.003107473492098e-01 7.821738631269135e+11
3.003257628865772e-01 5.082170691383245e+11
3.003407791747215e-01 2.544980788561561e+11
3.003557962136802e-01 5.677200736495969e+11
3.003708140034910e-01 1.034994330165822e+12
3.003858325441912e-01 4.741330810774272e+11
3.004008518358183e-01 1.120700522136796e+12
3.004158718784102e-01 1.183144341075059e+12
3.004308926720041e-01 7.805572995351560e+11
3.004459142166377e-01 3.176668882246252e+11
3.004609365123485e-01 6.078803134988972e+11
3.004759595591741e-01 1.048251880107338e+12
3.004909833571521e-01 1.296928038508019e+12
3.005060079063199e-01 1.041431827290061e+12
3.005210332067152e-01 1.682218847095162e+12
3.005360592583756e-01 2.003944117271892e+12
3.005510860613385e-01 1.063309627487864e+12
3.005661136156416e-01 1.541415142428270e+12
3.005811419213223e-01 1.296529581772765e+12
3.005961709784184e-01 6.883584102211688e+11
3.006112007869673e-01 1.545458611961433e+12
3.006262313470067e-01 1.555834059653027e+12
3.006412626585741e-01 1.219057755001649e+12
3.006562947217070e-01 2.175601255860792e+12
3.006713275364430e-01 1.494003262799201e+12
3.006863611028199e-01 1.155827770337599e+12
3.007013954208750e-01 2.139575884774802e+12
3.007164304906461e-01 1.939243311870643e+12
3.007314663121706e-01 1.601978438433407e+12
3.007465028854862e-01 1.063091794447734e+12
3.007615402106305e-01 8.698956224056384e+11
3.007765782876410e-01 5.640276758813484e+11
3.007916171165554e-01 8.776918566922983e+11
3.008066566974112e-01 5.322586842595843e+11
3.008216970302461e-01 7.698363450769456e+11
3.008367381150976e-01 1.049560579381719e+12
3.008517799520034e-01 1.058182127969229e+12
3.008668225410009e-01 8.041244642744237e+11
3.008818658821280e-01 5.537962675533463e+11
3.008969099754221e-01 1.629013668576082e+11
3.009119548209209e-01 3.529187243310845e+11
3.009270004186619e-01 6.752773391606752e+11
3.009420467686829e-01 8.232678435853402e+11
3.009570938710213e-01 1.102820193996583e+12
3.009721417257148e-01 1.240391789003746e+12
3.009871903328012e-01 1.028238527268973e+12
3.010022396923178e-01 5.524032836271545e+11
3.010172898043024e-01 9.999218656296736e+11
3.010323406687926e-01 9.437367754569950e+11
3.010473922858261e-01 3.939708012809503e+11
3.010624446554404e-01 1.050474686191355e+12
3.010774977776731e-01 1.376639577983463e+12
3.010925516525620e-01 1.780398749707924e+12
3.011076062801446e-01 1.051151306770122e+12
3.011226616604587e-01 1.716603960895721e+12
3.011377177935417e-01 2.182348231889167e+12
3.011527746794314e-01 2.193601469495340e+12
3.011678323181654e-01 1.606578857572351e+12
3.011828907097813e-01 2.055400896881006e+12
3.011979498543167e-01 1.721510450723174e+12
3.012130097518095e-01 2.045470056077103e+12
3.012280704022970e-01 1.145937691723131e+12
3.012431318058171e-01 1.468817241244333e+12
3.012581939624074e-01 1.219766285988517e+12
3.012732568721055e-01 9.529023419358527e+11
3.012883205349492e-01 3.097340708099886e+11
3.013033849509759e-01 1.015548099426194e+12
3.013184501202235e-01 1.416464250485617e+12
3.013335160427295e-01 1.337375180165369e+12
3.013485827185317e-01 1.442325103379585e+12
3.013636501476676e-01 2.492139484327424e+12
3.013787183301750e-01 1.614771135896426e+12
3.013937872660915e-01 1.112730642387174e+12
