# wavelength_um  transit_depth
2.9951368688e-01 1.2284920580e-02
3.0071174162e-01 1.2283219780e-02
3.0191458859e-01 1.2281522492e-02
3.0312224694e-01 1.2279828731e-02
3.0433473593e-01 1.2278138494e-02
3.0555207488e-01 1.2276451804e-02
3.0677428318e-01 1.2274769099e-02
3.0800138031e-01 1.2273089524e-02
3.0923338583e-01 1.2271413538e-02
3.1047031937e-01 1.2269741127e-02
3.1171220065e-01 1.2268072333e-02
3.1295904945e-01 1.2266407187e-02
3.1421088565e-01 1.2264745611e-02
3.1546772919e-01 1.2263087251e-02
3.1672960011e-01 1.2261432913e-02
3.1799651851e-01 1.2259782206e-02
3.1926850458e-01 1.2258134738e-02
3.2054557860e-01 1.2256490930e-02
3.2182776092e-01 1.2254850804e-02
3.2311507196e-01 1.2253214302e-02
3.2440753225e-01 1.2251581474e-02
3.2570516238e-01 1.2249952331e-02
3.2700798303e-01 1.2248326459e-02
3.2831601496e-01 1.2246704219e-02
3.2962927902e-01 1.2245085709e-02
3.3094779614e-01 1.2243470826e-02
3.3227158732e-01 1.2241859211e-02
3.3360067367e-01 1.2240251303e-02
3.3493507636e-01 1.2238647236e-02
3.3627481667e-01 1.2237046583e-02
3.3761991594e-01 1.2235449213e-02
3.3897039560e-01 1.2233855362e-02
3.4032627718e-01 1.2232265215e-02
3.4168758229e-01 1.2230678345e-02
3.4305433262e-01 1.2229095109e-02
3.4442654995e-01 1.2227515151e-02
3.4580425615e-01 1.2225939183e-02
3.4718747318e-01 1.2224366506e-02
3.4857622307e-01 1.2222797047e-02
3.4997052796e-01 1.2221231092e-02
3.5137041007e-01 1.2219668786e-02
3.5277589171e-01 1.2218109716e-02
3.5418699528e-01 1.2216554265e-02
3.5560374326e-01 1.2215001973e-02
3.5702615823e-01 1.2213453140e-02
3.5845426287e-01 1.2211907762e-02
3.5988807992e-01 1.2210365726e-02
3.6132763224e-01 1.2208827281e-02
3.6277294277e-01 1.2207293254e-02
3.6422403454e-01 1.2205760802e-02
3.6568093068e-01 1.2204231487e-02
3.6714365440e-01 1.2202705496e-02
3.6861222902e-01 1.2201182435e-02
3.7008667793e-01 1.2199663085e-02
3.7156702464e-01 1.2198146684e-02
3.7305329274e-01 1.2196633896e-02
3.7454550591e-01 1.2195124297e-02
3.7604368794e-01 1.2193618188e-02
3.7754786269e-01 1.2192114693e-02
3.7905805414e-01 1.2190614241e-02
3.8057428636e-01 1.2189116925e-02
3.8209658350e-01 1.2187623220e-02
3.8362496984e-01 1.2186131982e-02
3.8515946971e-01 1.2184643882e-02
3.8670010759e-01 1.2183158582e-02
3.8824690802e-01 1.2181676607e-02
3.8979989566e-01 1.2180197629e-02
3.9135909524e-01 1.2178721464e-02
3.9292453162e-01 1.2177249110e-02
3.9449622975e-01 1.2175780855e-02
3.9607421467e-01 1.2174314838e-02
3.9765851152e-01 1.2172860808e-02
3.9924914557e-01 1.2171395301e-02
4.0084614215e-01 1.2169937051e-02
4.0244952672e-01 1.2168477427e-02
4.0405932483e-01 1.2167022357e-02
4.0567556213e-01 1.2165568955e-02
4.0729826438e-01 1.2164119510e-02
4.0892745743e-01 1.2162673202e-02
4.1056316726e-01 1.2161230225e-02
4.1220541993e-01 1.2159790546e-02
4.1385424161e-01 1.2158353978e-02
4.1550965858e-01 1.2156921185e-02
4.1717169721e-01 1.2155492560e-02
4.1884038400e-01 1.2154061782e-02
4.2051574554e-01 1.2152634989e-02
4.2219780852e-01 1.2151209689e-02
4.2388659975e-01 1.2149787870e-02
4.2558214615e-01 1.2148368459e-02
4.2728447474e-01 1.2146950305e-02
4.2899361264e-01 1.2145535522e-02
4.3070958709e-01 1.2144122967e-02
4.3243242543e-01 1.2142712970e-02
4.3416215514e-01 1.2141305526e-02
4.3589880376e-01 1.2139901689e-02
4.3764239897e-01 1.2138500873e-02
4.3939296857e-01 1.2137115821e-02
4.4115054044e-01 1.2135732808e-02
4.4291514260e-01 1.2134421847e-02
4.4468680317e-01 1.2132973642e-02
4.4646555039e-01 1.2131604203e-02
4.4825141259e-01 1.2130196077e-02
4.5004441824e-01 1.2128792997e-02
4.5184459591e-01 1.2127390414e-02
4.5365197430e-01 1.2125998051e-02
4.5546658219e-01 1.2124609454e-02
4.5728844852e-01 1.2123225451e-02
4.5911760232e-01 1.2121846123e-02
4.6095407272e-01 1.2120470628e-02
4.6279788902e-01 1.2119098931e-02
4.6464908057e-01 1.2117730741e-02
4.6650767689e-01 1.2116378777e-02
4.6837370760e-01 1.2115018554e-02
4.7024720243e-01 1.2113680946e-02
4.7212819124e-01 1.2112302458e-02
