# wavelength_um  flux
2.9951368688e-01 7.7770096737e-14
3.0071174162e-01 2.6447500989e-12
3.0191458859e-01 4.2041671180e-12
3.0312224694e-01 3.9720491804e-13
3.0433473593e-01 1.7708832109e-12
3.0555207488e-01 1.6412154058e-11
3.0677428318e-01 2.9194497852e-11
3.0800138031e-01 2.2018711375e-11
3.0923338583e-01 3.5226076989e-12
3.1047031937e-01 7.7413252086e-14
3.1171220065e-01 1.0832642819e-11
3.1295904945e-01 4.9598482929e-11
3.1421088565e-01 8.3041861229e-11
3.1546772919e-01 9.5515664628e-11
3.1672960011e-01 8.8311167043e-11
3.1799651851e-01 6.5746702062e-11
3.1926850458e-01 3.4144989753e-11
3.2054557860e-01 6.5224922532e-12
3.2182776092e-01 4.0444360106e-14
3.2311507196e-01 4.0430889987e-12
3.2440753225e-01 6.9055061043e-12
3.2570516238e-01 3.1870522765e-12
3.2700798303e-01 6.9132678453e-13
3.2831601496e-01 5.3111901090e-14
3.2962927902e-01 3.6340682569e-16
3.3094779614e-01 1.7605857432e-16
3.3227158732e-01 4.5773028052e-14
3.3360067367e-01 7.8155088654e-13
3.3493507636e-01 4.5576694414e-12
3.3627481667e-01 1.5002407537e-11
3.3761991594e-01 3.3816110403e-11
3.3897039560e-01 5.4742041587e-11
3.4032627718e-01 6.0466860141e-11
3.4168758229e-01 3.5999213152e-11
3.4305433262e-01 5.1815432173e-12
3.4442654995e-01 4.0220561999e-14
3.4580425615e-01 1.1990706055e-12
3.4718747318e-01 3.0686400460e-11
3.4857622307e-01 1.4897588034e-10
3.4997052796e-01 3.7066768792e-10
3.5137041007e-01 6.7239025309e-10
3.5277589171e-01 1.0285103258e-09
3.5418699528e-01 1.4233450171e-09
3.5560374326e-01 1.8423804276e-09
3.5702615823e-01 2.2734595102e-09
3.5845426287e-01 2.7099006117e-09
3.5988807992e-01 3.1402425498e-09
3.6132763224e-01 3.5567676380e-09
3.6277294277e-01 3.9523760762e-09
3.6422403454e-01 4.3198193851e-09
3.6568093068e-01 4.6481110012e-09
3.6714365440e-01 4.9309513251e-09
3.6861222902e-01 5.1639345036e-09
3.7008667793e-01 5.3386957170e-09
3.7156702464e-01 5.4503448664e-09
3.7305329274e-01 5.4968510414e-09
3.7454550591e-01 5.4712618477e-09
3.7604368794e-01 5.3710987086e-09
3.7754786269e-01 5.1965061315e-09
3.7905805414e-01 4.9494315693e-09
3.8057428636e-01 4.6336738456e-09
3.8209658350e-01 4.2550997119e-09
3.8362496984e-01 3.8225935128e-09
3.8515946971e-01 3.3478305821e-09
3.8670010759e-01 2.8456569761e-09
3.8824690802e-01 2.3332080856e-09
3.8979989566e-01 1.8303681867e-09
3.9135909524e-01 1.3585477068e-09
3.9292453162e-01 9.3909957594e-10
3.9449622975e-01 5.9087127500e-10
3.9607421467e-01 3.2684672870e-10
3.9765851152e-01 1.5025192679e-10
3.9924914557e-01 5.1916582935e-11
