CENTRALWAVELNG	BANDWIDTH	ESPECLIPDEP	ESPECLIPDEPERR1	ESPECLIPDEPERR2	ESPBRITEMP	ESPBRITEMPERR1	ESPBRITEMPERR2	OBS_DATE	OBS_DATEERR1	OBS_DATEERR2
2.095	0.209	0.01337	0.00441	-0.00441	1178.0	66.0	-66.0			
2.4796	0.04966	0.01856	0.00325	-0.00325	1088.0	36.0	-36.0			
2.52926	0.04966	0.01667	0.0031	-0.0031	1052.0	36.0	-36.0			
2.57892	0.04966	0.02167	0.003	-0.003	1091.0	29.0	-29.0			
2.62858	0.04966	0.01938	0.00277	-0.00277	1055.0	29.0	-29.0			
2.67824	0.04966	0.01887	0.00272	-0.00272	1036.0	29.0	-29.0			
2.7279	0.04966	0.01676	0.00262	-0.00262	1001.0	29.0	-29.0			
2.77757	0.04966	0.02104	0.0026	-0.0026	1032.0	25.0	-25.0			
2.82723	0.04966	0.01931	0.00261	-0.00261	1002.0	27.0	-27.0			
2.87689	0.04966	0.01728	0.00265	-0.00265	968.0	29.0	-29.0			
2.92655	0.04966	0.03388	0.00254	-0.00254	1098.0	18.0	-18.0			
2.97621	0.04966	0.02664	0.00253	-0.00253	1030.0	21.0	-21.0			
3.02587	0.04966	0.02671	0.00253	-0.00253	1018.0	20.0	-20.0			
3.07553	0.04966	0.03351	0.0025	-0.0025	1058.0	18.0	-18.0			
3.12519	0.04966	0.03737	0.00248	-0.00248	1071.0	16.0	-16.0			
3.17485	0.04966	0.04148	0.00246	-0.00246	1085.0	15.0	-15.0			
3.22451	0.04966	0.04259	0.00248	-0.00248	1080.0	15.0	-15.0			
3.27418	0.04966	0.0449	0.00246	-0.00246	1082.0	14.0	-14.0			
3.32384	0.04966	0.04709	0.00245	-0.00245	1082.0	14.0	-14.0			
3.3735	0.04966	0.04404	0.00244	-0.00244	1054.0	14.0	-14.0			
3.42316	0.04966	0.04985	0.00248	-0.00248	1076.0	13.0	-13.0			
3.47282	0.04966	0.04993	0.00248	-0.00248	1066.0	13.0	-13.0			
3.52248	0.04966	0.0566	0.00251	-0.00251	1090.0	13.0	-13.0			
3.57214	0.04966	0.05375	0.00251	-0.00251	1065.0	13.0	-13.0			
3.6218	0.04966	0.05523	0.00251	-0.00251	1063.0	13.0	-13.0			
3.67146	0.04966	0.05787	0.00264	-0.00264	1065.0	13.0	-13.0			
3.72112	0.04966	0.06308	0.00265	-0.00265	1078.0	12.0	-12.0			
3.77078	0.04966	0.06143	0.00269	-0.00269	1063.0	13.0	-13.0			
3.82045	0.04966	0.05986	0.00272	-0.00272	1047.0	13.0	-13.0			
3.87011	0.04966	0.06626	0.00284	-0.00284	1062.0	13.0	-13.0			
3.91977	0.04966	0.06743	0.00273	-0.00273	1060.0	12.0	-12.0			
3.92093	0.05351	0.05842	0.00209	-0.00209	1019.0	10.0	-10.0			
3.97444	0.05351	0.06348	0.00214	-0.00214	1034.0	10.0	-10.0			
4.02795	0.05351	0.06342	0.00217	-0.00217	1026.0	10.0	-10.0			
4.08147	0.05351	0.06633	0.00201	-0.00201	1030.0	9.0	-9.0			
4.13498	0.05351	0.06493	0.00226	-0.00226	1015.0	10.0	-10.0			
4.18849	0.05351	0.06505	0.00223	-0.00223	1005.0	10.0	-10.0			
4.24201	0.05351	0.04792	0.00247	-0.00247	919.0	12.0	-12.0			
4.29552	0.05351	0.04043	0.00255	-0.00255	864.0	14.0	-14.0			
4.34903	0.05351	0.04016	0.00238	-0.00238	849.0	13.0	-13.0			
4.40255	0.05351	0.04965	0.00276	-0.00276	882.0	13.0	-13.0			
4.45606	0.05351	0.05246	0.00281	-0.00281	884.0	13.0	-13.0			
4.50957	0.05351	0.0577	0.00268	-0.00268	897.0	11.0	-11.0			
4.56309	0.05351	0.07437	0.00315	-0.00315	955.0	12.0	-12.0			
4.6166	0.05351	0.07489	0.00311	-0.00311	950.0	12.0	-12.0			
4.67011	0.05351	0.07672	0.00299	-0.00299	953.0	11.0	-11.0			
4.72363	0.05351	0.08155	0.00331	-0.00331	966.0	12.0	-12.0			
4.77714	0.05351	0.08324	0.00345	-0.00345	966.0	12.0	-12.0			
4.83065	0.05351	0.07154	0.00324	-0.00324	919.0	12.0	-12.0			
4.88417	0.05351	0.07201	0.00371	-0.00371	914.0	14.0	-14.0			
4.93768	0.05351	0.0819	0.00366	-0.00366	944.0	13.0	-13.0			
