CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
2.4575	0.0075	2.0693	0.0095	-0.0095	Welbanks et al. 2024	0.14385	0.00033	-0.00033	Calculated	0.9379	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.4725	0.0075	2.0526	0.0099	-0.0099	Welbanks et al. 2024	0.14327	0.00035	-0.00035	Calculated	0.9341	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.4875	0.0075	2.046	0.0095	-0.0095	Welbanks et al. 2024	0.14304	0.00033	-0.00033	Calculated	0.9326	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5025	0.0075	2.061	0.0093	-0.0093	Welbanks et al. 2024	0.14356	0.00032	-0.00032	Calculated	0.936	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5175	0.0075	2.0759	0.0095	-0.0095	Welbanks et al. 2024	0.14408	0.00033	-0.00033	Calculated	0.9394	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5325	0.0075	2.0883	0.0095	-0.0095	Welbanks et al. 2024	0.14451	0.00033	-0.00033	Calculated	0.9422	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5475	0.0075	2.0699	0.0093	-0.0093	Welbanks et al. 2024	0.14387	0.00032	-0.00032	Calculated	0.938	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5625	0.0075	2.0779	0.0091	-0.0091	Welbanks et al. 2024	0.14415	0.00032	-0.00032	Calculated	0.9398	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5775	0.0075	2.0935	0.0089	-0.0089	Welbanks et al. 2024	0.14469	0.00031	-0.00031	Calculated	0.9434	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
2.5925	0.0075	2.0738	0.0085	-0.0085	Welbanks et al. 2024	0.14401	0.00029	-0.0003	Calculated	0.9389	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
