#lam_um dlam_um depth depth_sigma response_mode
0.969975 0.0001175 1.39511e-09 1.4456e-10 boxcar
0.97021 0.0001175 1.56897e-09 8.25547e-11 boxcar
0.970445 0.0001175 1.24763e-09 6.91703e-11 boxcar
0.97068 0.0001175 1.80563e-09 6.03831e-11 boxcar
0.970915 0.0001175 1.71686e-09 6.46135e-11 boxcar
0.97115 0.0001175 1.56716e-09 6.09528e-11 boxcar
0.971385 0.0001175 1.64592e-09 6.07376e-11 boxcar
0.97162 0.0001175 1.58875e-09 6.61844e-11 boxcar
0.971855 0.0001175 1.78661e-09 6.77659e-11 boxcar
0.97209 0.0001175 1.59677e-09 5.99957e-11 boxcar
0.972325 0.0001175 1.78159e-09 6.39562e-11 boxcar
0.97256 0.0001175 1.43038e-09 6.05236e-11 boxcar
0.972795 0.0001175 1.57659e-09 6.07265e-11 boxcar
0.97303 0.0001175 1.59243e-09 6.25944e-11 boxcar
0.973265 0.0001175 1.73111e-09 6.33699e-11 boxcar
0.9735 0.0001175 1.63607e-09 6.92267e-11 boxcar
0.973735 0.0001175 1.48164e-09 6.18438e-11 boxcar
0.97397 0.0001175 1.42012e-09 6.12034e-11 boxcar
0.974205 0.0001175 1.51992e-09 7.35219e-11 boxcar
0.97444 0.0001175 1.35932e-09 6.42795e-11 boxcar
0.974675 0.0001175 1.71585e-09 6.46284e-11 boxcar
0.97491 0.0001175 1.72895e-09 6.8889e-11 boxcar
0.975145 0.0001175 1.50552e-09 6.3147e-11 boxcar
0.97538 0.0001175 1.46219e-09 6.92354e-11 boxcar
0.975615 0.0001175 1.5243e-09 6.61701e-11 boxcar
0.97585 0.0001175 1.50984e-09 6.78163e-11 boxcar
0.976085 0.0001175 1.53308e-09 7.30067e-11 boxcar
0.97632 0.0001175 1.61982e-09 6.31932e-11 boxcar
0.976555 0.0001175 1.64767e-09 6.18378e-11 boxcar
0.97679 0.0001175 1.79439e-09 6.4696e-11 boxcar
0.977025 0.0001175 1.81662e-09 6.87799e-11 boxcar
0.97726 0.0001175 1.91513e-09 6.26178e-11 boxcar
0.977495 0.0001175 1.51796e-09 6.36814e-11 boxcar
0.97773 0.0001175 1.63286e-09 6.44057e-11 boxcar
0.977965 0.0001175 1.79887e-09 6.36356e-11 boxcar
0.9782 0.0001175 1.54162e-09 5.95483e-11 boxcar
0.978435 0.0001175 1.66803e-09 6.06464e-11 boxcar
0.97867 0.0001175 1.46489e-09 5.70904e-11 boxcar
0.978905 0.0001175 1.54991e-09 5.68517e-11 boxcar
0.97914 0.0001175 1.44127e-09 5.95865e-11 boxcar
0.979375 0.0001175 1.56153e-09 5.65612e-11 boxcar
0.97961 0.0001175 1.81795e-09 5.84105e-11 boxcar
0.979845 0.0001175 1.56166e-09 5.31167e-11 boxcar
0.98008 0.0001175 1.55231e-09 5.11176e-11 boxcar
0.980315 0.0001175 1.55581e-09 5.0047e-11 boxcar
0.98055 0.0001175 1.59118e-09 5.76913e-11 boxcar
0.980785 0.0001175 1.56728e-09 4.92502e-11 boxcar
0.98102 0.0001175 1.63286e-09 5.48346e-11 boxcar
0.981255 0.0001175 1.73731e-09 5.36336e-11 boxcar
0.98149 0.0001175 1.51135e-09 4.76485e-11 boxcar
0.981725 0.0001175 1.3396e-09 5.31441e-11 boxcar
0.98196 0.0001175 1.66551e-09 5.68619e-11 boxcar
0.982195 0.0001175 1.75062e-09 5.42061e-11 boxcar
0.98243 0.0001175 1.79894e-09 6.77944e-11 boxcar
0.982665 0.0001175 1.59904e-09 5.24865e-11 boxcar
0.9829 0.0001175 1.64846e-09 5.04976e-11 boxcar
0.983135 0.0001175 1.67032e-09 5.17539e-11 boxcar
0.98337 0.0001175 1.50269e-09 5.50585e-11 boxcar
0.983605 0.0001175 1.63491e-09 5.08511e-11 boxcar
0.98384 0.0001175 1.67082e-09 5.48124e-11 boxcar
0.984075 0.0001175 1.79891e-09 5.47698e-11 boxcar
0.98431 0.0001175 1.8158e-09 5.30498e-11 boxcar
0.984545 0.0001175 1.55156e-09 5.43385e-11 boxcar
0.98478 0.0001175 1.75995e-09 5.90086e-11 boxcar
0.985015 0.0001175 1.82314e-09 5.3476e-11 boxcar
0.98525 0.0001175 1.80847e-09 5.25014e-11 boxcar
0.985485 0.0001175 1.79598e-09 5.62251e-11 boxcar
0.98572 0.0001175 1.96958e-09 5.34289e-11 boxcar
0.985955 0.0001175 1.85254e-09 5.18963e-11 boxcar
0.98619 0.0001175 1.64792e-09 5.82782e-11 boxcar
0.986425 0.0001175 1.93238e-09 5.21066e-11 boxcar
0.98666 0.0001175 1.87279e-09 5.71356e-11 boxcar
0.986895 0.0001175 1.72139e-09 5.78732e-11 boxcar
0.98713 0.0001175 1.67738e-09 5.89667e-11 boxcar
0.987365 0.0001175 1.69567e-09 7.10558e-11 boxcar
0.9876 0.0001175 1.76454e-09 4.80356e-11 boxcar
0.987835 0.0001175 1.76616e-09 4.67182e-11 boxcar
0.98807 0.0001175 1.95594e-09 6.27211e-11 boxcar
0.988305 0.0001175 1.81247e-09 4.90466e-11 boxcar
