#Central_WL(μm)   Half_BW(μm)    Eclipse_Depth      Err_Pos       Err_Neg       Mode      
#------------------------------------------------------------------------------------------
2.0950           0.10450        0.0001337          4.41e-05      4.41e-05      boxcar    
2.4796           0.02483        0.0001856          3.25e-05      3.25e-05      boxcar    
2.5293           0.02483        0.0001667          3.1e-05       3.1e-05       boxcar    
2.5789           0.02483        0.0002167          3e-05         3e-05         boxcar    
2.6286           0.02483        0.0001938          2.77e-05      2.77e-05      boxcar    
2.6782           0.02483        0.0001887          2.72e-05      2.72e-05      boxcar    
2.7279           0.02483        0.0001676          2.62e-05      2.62e-05      boxcar    
2.7776           0.02483        0.0002104          2.6e-05       2.6e-05       boxcar    
2.8272           0.02483        0.0001931          2.61e-05      2.61e-05      boxcar    
2.8769           0.02483        0.0001728          2.65e-05      2.65e-05      boxcar    
2.9266           0.02483        0.0003388          2.54e-05      2.54e-05      boxcar    
2.9762           0.02483        0.0002664          2.53e-05      2.53e-05      boxcar    
3.0259           0.02483        0.0002671          2.53e-05      2.53e-05      boxcar    
3.0755           0.02483        0.0003351          2.5e-05       2.5e-05       boxcar    
3.1252           0.02483        0.0003737          2.48e-05      2.48e-05      boxcar    
3.1749           0.02483        0.0004148          2.46e-05      2.46e-05      boxcar    
3.2245           0.02483        0.0004259          2.48e-05      2.48e-05      boxcar    
3.2742           0.02483        0.000449           2.46e-05      2.46e-05      boxcar    
3.3238           0.02483        0.0004709          2.45e-05      2.45e-05      boxcar    
3.3735           0.02483        0.0004404          2.44e-05      2.44e-05      boxcar    
3.4232           0.02483        0.0004985          2.48e-05      2.48e-05      boxcar    
3.4728           0.02483        0.0004993          2.48e-05      2.48e-05      boxcar    
3.5225           0.02483        0.000566           2.51e-05      2.51e-05      boxcar    
3.5721           0.02483        0.0005375          2.51e-05      2.51e-05      boxcar    
3.6218           0.02483        0.0005523          2.51e-05      2.51e-05      boxcar    
3.6715           0.02483        0.0005787          2.64e-05      2.64e-05      boxcar    
3.7211           0.02483        0.0006308          2.65e-05      2.65e-05      boxcar    
3.7708           0.02483        0.0006143          2.69e-05      2.69e-05      boxcar    
3.8205           0.02483        0.0005986          2.72e-05      2.72e-05      boxcar    
3.8701           0.02483        0.0006626          2.84e-05      2.84e-05      boxcar    
3.9198           0.02483        0.0006743          2.73e-05      2.73e-05      boxcar    
3.9209           0.02676        0.0005842          2.09e-05      2.09e-05      boxcar    
3.9744           0.02676        0.0006348          2.14e-05      2.14e-05      boxcar    
4.0279           0.02676        0.0006342          2.17e-05      2.17e-05      boxcar    
4.0815           0.02676        0.0006633          2.01e-05      2.01e-05      boxcar    
4.1350           0.02676        0.0006493          2.26e-05      2.26e-05      boxcar    
4.1885           0.02676        0.0006505          2.23e-05      2.23e-05      boxcar    
4.2420           0.02676        0.0004792          2.47e-05      2.47e-05      boxcar    
4.2955           0.02676        0.0004043          2.55e-05      2.55e-05      boxcar    
4.3490           0.02676        0.0004016          2.38e-05      2.38e-05      boxcar    
4.4025           0.02676        0.0004965          2.76e-05      2.76e-05      boxcar    
4.4561           0.02676        0.0005246          2.81e-05      2.81e-05      boxcar    
4.5096           0.02676        0.000577           2.68e-05      2.68e-05      boxcar    
4.5631           0.02676        0.0007437          3.15e-05      3.15e-05      boxcar    
4.6166           0.02676        0.0007489          3.11e-05      3.11e-05      boxcar    
4.6701           0.02676        0.0007672          2.99e-05      2.99e-05      boxcar    
4.7236           0.02676        0.0008155          3.31e-05      3.31e-05      boxcar    
4.7771           0.02676        0.0008324          3.45e-05      3.45e-05      boxcar    
4.8307           0.02676        0.0007154          3.24e-05      3.24e-05      boxcar    
4.8842           0.02676        0.0007201          3.71e-05      3.71e-05      boxcar    
4.9377           0.02676        0.000819           3.66e-05      3.66e-05      boxcar    
5.1250           0.12500        0.000934           9.1e-05       9.1e-05       boxcar    
5.3750           0.12500        0.000965           5.4e-05       5.4e-05       boxcar    
5.6250           0.12500        0.000847           6.1e-05       6.1e-05       boxcar    
5.8750           0.12500        0.001057           4.5e-05       4.5e-05       boxcar    
6.1250           0.12500        0.001238           4.6e-05       4.6e-05       boxcar    
6.3750           0.12500        0.00112            6e-05         6e-05         boxcar    
6.6250           0.12500        0.001086           3.9e-05       3.9e-05       boxcar    
6.8750           0.12500        0.001263           9.5e-05       9.5e-05       boxcar    
7.1250           0.12500        0.001234           5.3e-05       5.3e-05       boxcar    
7.3750           0.12500        0.00129            3.8e-05       3.8e-05       boxcar    
7.6250           0.12500        0.001396           7.4e-05       7.4e-05       boxcar    
7.8750           0.12500        0.001558           4.8e-05       4.8e-05       boxcar    
8.1250           0.12500        0.001535           5e-05         5e-05         boxcar    
8.3750           0.12500        0.001556           5.9e-05       5.9e-05       boxcar    
8.6250           0.12500        0.001598           5.2e-05       5.2e-05       boxcar    
8.8750           0.12500        0.001717           5.3e-05       5.3e-05       boxcar    
9.1250           0.12500        0.001741           6.9e-05       6.9e-05       boxcar    
9.3750           0.12500        0.002033           5.6e-05       5.6e-05       boxcar    
9.6250           0.12500        0.002083           5.9e-05       5.9e-05       boxcar    
9.8750           0.12500        0.002135           7.4e-05       7.4e-05       boxcar    
10.1250          0.12500        0.002234           6.7e-05       6.7e-05       boxcar    
10.3750          0.12500        0.00222            9.6e-05       9.6e-05       boxcar    
10.6250          0.12500        0.002077           8.8e-05       8.8e-05       boxcar    
10.8750          0.12500        0.002135           0.000139      0.000139      boxcar    
11.1250          0.12500        0.002197           0.000154      0.000154      boxcar    
11.3750          0.12500        0.00228            0.000152      0.000152      boxcar    
11.6250          0.12500        0.002494           0.000217      0.000217      boxcar    
11.8750          0.12500        0.002547           0.000221      0.000221      boxcar    
