# TWA 27b JWST emission spectrum
# NIRSpec (twa27b.txt): 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
9.701125e-01  1.233000e-04  3.798154e-10  1.139446e-11  boxcar  NIRSpec
9.703591e-01  1.233000e-04  2.753652e-10  8.260956e-12  boxcar  NIRSpec
9.706057e-01  1.233000e-04  2.623155e-10  7.869466e-12  boxcar  NIRSpec
9.708523e-01  1.233000e-04  2.867343e-10  8.602028e-12  boxcar  NIRSpec
9.710989e-01  1.233000e-04  2.014197e-10  6.042592e-12  boxcar  NIRSpec
9.713455e-01  1.233000e-04  1.353355e-10  4.060065e-12  boxcar  NIRSpec
9.715921e-01  1.232750e-04  2.423990e-10  7.271971e-12  boxcar  NIRSpec
9.718386e-01  1.232750e-04  4.846038e-10  1.453811e-11  boxcar  NIRSpec
9.720852e-01  1.233000e-04  3.845097e-10  1.153529e-11  boxcar  NIRSpec
9.723318e-01  1.233000e-04  2.316910e-10  6.950730e-12  boxcar  NIRSpec
9.725784e-01  1.233000e-04  1.176978e-10  3.530934e-12  boxcar  NIRSpec
9.728250e-01  1.233000e-04  1.026221e-10  3.078664e-12  boxcar  NIRSpec
9.730716e-01  1.233000e-04  1.582187e-10  4.746561e-12  boxcar  NIRSpec
9.733182e-01  1.233000e-04  2.212700e-10  6.638099e-12  boxcar  NIRSpec
9.735648e-01  1.233000e-04  2.091847e-10  6.275540e-12  boxcar  NIRSpec
9.738114e-01  1.233000e-04  2.451900e-10  7.355701e-12  boxcar  NIRSpec
9.740580e-01  1.233000e-04  1.781132e-10  5.343397e-12  boxcar  NIRSpec
9.743046e-01  1.233000e-04  1.524772e-10  4.574316e-12  boxcar  NIRSpec
9.745512e-01  1.233000e-04  1.698072e-10  5.094217e-12  boxcar  NIRSpec
9.747978e-01  1.233000e-04  1.793967e-10  5.381902e-12  boxcar  NIRSpec
9.750444e-01  1.232750e-04  1.447590e-10  4.342771e-12  boxcar  NIRSpec
