# TWA 27b JWST emission spectrum
# NIRSpec binned from native sampling to R=400; MIRI rows unchanged from twa27b_JWST_em.txt
# NIRSpec errors remain the original convention of 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
9.712032e-01  1.214003e-03  2.884189e-10  8.652567e-12  boxcar  NIRSpec
9.736342e-01  1.217042e-03  1.733978e-10  5.201933e-12  boxcar  NIRSpec
9.760714e-01  1.220089e-03  1.978354e-10  5.935063e-12  boxcar  NIRSpec
9.785146e-01  1.223143e-03  2.063054e-10  6.189162e-12  boxcar  NIRSpec
9.809640e-01  1.226204e-03  2.118503e-10  6.355508e-12  boxcar  NIRSpec
9.834194e-01  1.229274e-03  2.568796e-10  7.706387e-12  boxcar  NIRSpec
9.858811e-01  1.232351e-03  2.034628e-10  6.103883e-12  boxcar  NIRSpec
9.883488e-01  1.235435e-03  1.566960e-10  4.700880e-12  boxcar  NIRSpec
9.908228e-01  1.238528e-03  1.290060e-10  3.870179e-12  boxcar  NIRSpec
9.933030e-01  1.241628e-03  1.628914e-10  4.886743e-12  boxcar  NIRSpec
9.957893e-01  1.244736e-03  2.177826e-10  6.533478e-12  boxcar  NIRSpec
9.982819e-01  1.247852e-03  1.999517e-10  5.998550e-12  boxcar  NIRSpec
1.000781e+00  1.250975e-03  1.836258e-10  5.508775e-12  boxcar  NIRSpec
1.003286e+00  1.254107e-03  2.218184e-10  6.654552e-12  boxcar  NIRSpec
1.005797e+00  1.257246e-03  2.669144e-10  8.007431e-12  boxcar  NIRSpec
1.008315e+00  1.260393e-03  2.135728e-10  6.407183e-12  boxcar  NIRSpec
1.010839e+00  1.263548e-03  2.439383e-10  7.318148e-12  boxcar  NIRSpec
1.013369e+00  1.266711e-03  2.365293e-10  7.095880e-12  boxcar  NIRSpec
1.015906e+00  1.269881e-03  2.297661e-10  6.892984e-12  boxcar  NIRSpec
1.018449e+00  1.273060e-03  1.855184e-10  5.565552e-12  boxcar  NIRSpec
1.020998e+00  1.276247e-03  2.343290e-10  7.029869e-12  boxcar  NIRSpec
1.023554e+00  1.279441e-03  2.422442e-10  7.267325e-12  boxcar  NIRSpec
1.026116e+00  1.282644e-03  2.264267e-10  6.792800e-12  boxcar  NIRSpec
1.028684e+00  1.285854e-03  2.426917e-10  7.280750e-12  boxcar  NIRSpec
1.031259e+00  1.289073e-03  2.222681e-10  6.668042e-12  boxcar  NIRSpec
1.033840e+00  1.292300e-03  2.796527e-10  8.389580e-12  boxcar  NIRSpec
1.036428e+00  1.295535e-03  2.249078e-10  6.747234e-12  boxcar  NIRSpec
1.039023e+00  1.298778e-03  2.583878e-10  7.751634e-12  boxcar  NIRSpec
1.041623e+00  1.302029e-03  3.290231e-10  9.870694e-12  boxcar  NIRSpec
1.044231e+00  1.305288e-03  2.945444e-10  8.836331e-12  boxcar  NIRSpec
1.046845e+00  1.308555e-03  2.658985e-10  7.976956e-12  boxcar  NIRSpec
1.049465e+00  1.311830e-03  3.055709e-10  9.167127e-12  boxcar  NIRSpec
1.052092e+00  1.315114e-03  3.181403e-10  9.544208e-12  boxcar  NIRSpec
1.054725e+00  1.318406e-03  2.707099e-10  8.121296e-12  boxcar  NIRSpec
1.057366e+00  1.321706e-03  2.623315e-10  7.869945e-12  boxcar  NIRSpec
1.060012e+00  1.325015e-03  2.582486e-10  7.747458e-12  boxcar  NIRSpec
1.062666e+00  1.328331e-03  2.766604e-10  8.299812e-12  boxcar  NIRSpec
1.065326e+00  1.331656e-03  2.502114e-10  7.506343e-12  boxcar  NIRSpec
1.067992e+00  1.334990e-03  2.892997e-10  8.678990e-12  boxcar  NIRSpec
1.070666e+00  1.338331e-03  2.814089e-10  8.442267e-12  boxcar  NIRSpec
1.073346e+00  1.341681e-03  2.976236e-10  8.928709e-12  boxcar  NIRSpec
1.076032e+00  1.345040e-03  3.094051e-10  9.282152e-12  boxcar  NIRSpec
1.078726e+00  1.348406e-03  3.281695e-10  9.845086e-12  boxcar  NIRSpec
1.081426e+00  1.351782e-03  2.709273e-10  8.127820e-12  boxcar  NIRSpec
1.084133e+00  1.355165e-03  3.744246e-10  1.123274e-11  boxcar  NIRSpec
1.086847e+00  1.358557e-03  3.376619e-10  1.012986e-11  boxcar  NIRSpec
1.089567e+00  1.361958e-03  3.494022e-10  1.048206e-11  boxcar  NIRSpec
1.092294e+00  1.365367e-03  3.236412e-10  9.709237e-12  boxcar  NIRSpec
1.095029e+00  1.368785e-03  3.751255e-10  1.125376e-11  boxcar  NIRSpec
1.097770e+00  1.372211e-03  2.847321e-10  8.541963e-12  boxcar  NIRSpec
1.100517e+00  1.375646e-03  3.127764e-10  9.383291e-12  boxcar  NIRSpec
1.103272e+00  1.379089e-03  3.180712e-10  9.542135e-12  boxcar  NIRSpec
1.106034e+00  1.382541e-03  3.297552e-10  9.892655e-12  boxcar  NIRSpec
1.108802e+00  1.386002e-03  3.681475e-10  1.104443e-11  boxcar  NIRSpec
1.111578e+00  1.389472e-03  3.197552e-10  9.592655e-12  boxcar  NIRSpec
1.114360e+00  1.392950e-03  3.175210e-10  9.525631e-12  boxcar  NIRSpec
1.117150e+00  1.396436e-03  2.885081e-10  8.655242e-12  boxcar  NIRSpec
1.119946e+00  1.399932e-03  3.037488e-10  9.112464e-12  boxcar  NIRSpec
1.122749e+00  1.403436e-03  3.484328e-10  1.045299e-11  boxcar  NIRSpec
1.125560e+00  1.406949e-03  3.458930e-10  1.037679e-11  boxcar  NIRSpec
1.128377e+00  1.410471e-03  3.551204e-10  1.065361e-11  boxcar  NIRSpec
1.131202e+00  1.414001e-03  3.051524e-10  9.154573e-12  boxcar  NIRSpec
1.134033e+00  1.417541e-03  2.872447e-10  8.617340e-12  boxcar  NIRSpec
1.136872e+00  1.421089e-03  3.225930e-10  9.677791e-12  boxcar  NIRSpec
1.139718e+00  1.424646e-03  3.247525e-10  9.742576e-12  boxcar  NIRSpec
1.142570e+00  1.428212e-03  3.524232e-10  1.057270e-11  boxcar  NIRSpec
1.145430e+00  1.431787e-03  3.459216e-10  1.037765e-11  boxcar  NIRSpec
1.148298e+00  1.435371e-03  3.576950e-10  1.073085e-11  boxcar  NIRSpec
1.151172e+00  1.438964e-03  4.025249e-10  1.207575e-11  boxcar  NIRSpec
1.154053e+00  1.442566e-03  3.484808e-10  1.045443e-11  boxcar  NIRSpec
1.156942e+00  1.446177e-03  3.819837e-10  1.145951e-11  boxcar  NIRSpec
1.159838e+00  1.449797e-03  3.468510e-10  1.040553e-11  boxcar  NIRSpec
1.162741e+00  1.453426e-03  3.596033e-10  1.078810e-11  boxcar  NIRSpec
1.165652e+00  1.457064e-03  3.687268e-10  1.106180e-11  boxcar  NIRSpec
1.168570e+00  1.460711e-03  3.432915e-10  1.029875e-11  boxcar  NIRSpec
1.171495e+00  1.464368e-03  3.804744e-10  1.141423e-11  boxcar  NIRSpec
1.174427e+00  1.468033e-03  3.795050e-10  1.138515e-11  boxcar  NIRSpec
1.177367e+00  1.471708e-03  3.226181e-10  9.678543e-12  boxcar  NIRSpec
1.180314e+00  1.475392e-03  3.492086e-10  1.047626e-11  boxcar  NIRSpec
1.183268e+00  1.479085e-03  3.686649e-10  1.105995e-11  boxcar  NIRSpec
1.186230e+00  1.482787e-03  3.695746e-10  1.108724e-11  boxcar  NIRSpec
1.189200e+00  1.486499e-03  3.747961e-10  1.124388e-11  boxcar  NIRSpec
1.192176e+00  1.490220e-03  3.782294e-10  1.134688e-11  boxcar  NIRSpec
1.195160e+00  1.493950e-03  3.822835e-10  1.146851e-11  boxcar  NIRSpec
1.198152e+00  1.497689e-03  3.759754e-10  1.127926e-11  boxcar  NIRSpec
1.201151e+00  1.501438e-03  3.800435e-10  1.140130e-11  boxcar  NIRSpec
1.204158e+00  1.505197e-03  3.998050e-10  1.199415e-11  boxcar  NIRSpec
1.207172e+00  1.508964e-03  4.070134e-10  1.221040e-11  boxcar  NIRSpec
1.210194e+00  1.512741e-03  4.386251e-10  1.315875e-11  boxcar  NIRSpec
1.213223e+00  1.516528e-03  4.246092e-10  1.273828e-11  boxcar  NIRSpec
1.216260e+00  1.520324e-03  4.418847e-10  1.325654e-11  boxcar  NIRSpec
1.219304e+00  1.524130e-03  4.622368e-10  1.386710e-11  boxcar  NIRSpec
1.222356e+00  1.527945e-03  4.427014e-10  1.328104e-11  boxcar  NIRSpec
1.225416e+00  1.531769e-03  4.641807e-10  1.392542e-11  boxcar  NIRSpec
1.228483e+00  1.535604e-03  4.728379e-10  1.418514e-11  boxcar  NIRSpec
1.231558e+00  1.539447e-03  4.829233e-10  1.448770e-11  boxcar  NIRSpec
1.234641e+00  1.543301e-03  4.834542e-10  1.450363e-11  boxcar  NIRSpec
1.237732e+00  1.547164e-03  4.774005e-10  1.432202e-11  boxcar  NIRSpec
1.240830e+00  1.551037e-03  4.693991e-10  1.408197e-11  boxcar  NIRSpec
1.243936e+00  1.554919e-03  4.601336e-10  1.380401e-11  boxcar  NIRSpec
1.247050e+00  1.558811e-03  5.147938e-10  1.544381e-11  boxcar  NIRSpec
1.250171e+00  1.562713e-03  5.406070e-10  1.621821e-11  boxcar  NIRSpec
1.253300e+00  1.566625e-03  4.855210e-10  1.456563e-11  boxcar  NIRSpec
1.256438e+00  1.570546e-03  5.407929e-10  1.622379e-11  boxcar  NIRSpec
1.259583e+00  1.574477e-03  5.319979e-10  1.595994e-11  boxcar  NIRSpec
1.262736e+00  1.578419e-03  5.579100e-10  1.673730e-11  boxcar  NIRSpec
1.265896e+00  1.582370e-03  5.564077e-10  1.669223e-11  boxcar  NIRSpec
1.269065e+00  1.586330e-03  5.853381e-10  1.756014e-11  boxcar  NIRSpec
1.272242e+00  1.590301e-03  5.859363e-10  1.757809e-11  boxcar  NIRSpec
1.275426e+00  1.594282e-03  6.079355e-10  1.823807e-11  boxcar  NIRSpec
1.278619e+00  1.598273e-03  6.077642e-10  1.823293e-11  boxcar  NIRSpec
1.281819e+00  1.602273e-03  6.771666e-10  2.031500e-11  boxcar  NIRSpec
1.285028e+00  1.606284e-03  6.066805e-10  1.820042e-11  boxcar  NIRSpec
1.288245e+00  1.610305e-03  5.675322e-10  1.702597e-11  boxcar  NIRSpec
1.291469e+00  1.614336e-03  6.278386e-10  1.883516e-11  boxcar  NIRSpec
1.294702e+00  1.618376e-03  6.222380e-10  1.866714e-11  boxcar  NIRSpec
1.297943e+00  1.622427e-03  6.091248e-10  1.827374e-11  boxcar  NIRSpec
1.301192e+00  1.626489e-03  5.917602e-10  1.775281e-11  boxcar  NIRSpec
1.304449e+00  1.630560e-03  6.120652e-10  1.836196e-11  boxcar  NIRSpec
1.307714e+00  1.634641e-03  5.984076e-10  1.795223e-11  boxcar  NIRSpec
1.310987e+00  1.638733e-03  6.456297e-10  1.936889e-11  boxcar  NIRSpec
1.314269e+00  1.642835e-03  6.224295e-10  1.867289e-11  boxcar  NIRSpec
1.317559e+00  1.646947e-03  6.124229e-10  1.837269e-11  boxcar  NIRSpec
1.320857e+00  1.651070e-03  6.347102e-10  1.904131e-11  boxcar  NIRSpec
1.324163e+00  1.655203e-03  5.841582e-10  1.752475e-11  boxcar  NIRSpec
1.327477e+00  1.659346e-03  5.860728e-10  1.758218e-11  boxcar  NIRSpec
1.330800e+00  1.663499e-03  5.239215e-10  1.571764e-11  boxcar  NIRSpec
1.334131e+00  1.667663e-03  4.577841e-10  1.373352e-11  boxcar  NIRSpec
1.337471e+00  1.671838e-03  4.025362e-10  1.207609e-11  boxcar  NIRSpec
1.340819e+00  1.676023e-03  4.184992e-10  1.255498e-11  boxcar  NIRSpec
1.344175e+00  1.680218e-03  3.896762e-10  1.169029e-11  boxcar  NIRSpec
1.347540e+00  1.684424e-03  4.055586e-10  1.216676e-11  boxcar  NIRSpec
1.350913e+00  1.688640e-03  3.844913e-10  1.153474e-11  boxcar  NIRSpec
1.354294e+00  1.692867e-03  3.724375e-10  1.117313e-11  boxcar  NIRSpec
1.357684e+00  1.697104e-03  3.871459e-10  1.161438e-11  boxcar  NIRSpec
1.361083e+00  1.701352e-03  3.536330e-10  1.060899e-11  boxcar  NIRSpec
1.364490e+00  1.705611e-03  3.883192e-10  1.164958e-11  boxcar  NIRSpec
1.367905e+00  1.709880e-03  3.800991e-10  1.140297e-11  boxcar  NIRSpec
1.371329e+00  1.714161e-03  3.556466e-10  1.066940e-11  boxcar  NIRSpec
1.374762e+00  1.718451e-03  3.858159e-10  1.157448e-11  boxcar  NIRSpec
1.378203e+00  1.722753e-03  3.706921e-10  1.112076e-11  boxcar  NIRSpec
1.381653e+00  1.727065e-03  3.919951e-10  1.175985e-11  boxcar  NIRSpec
1.385111e+00  1.731388e-03  3.938348e-10  1.181504e-11  boxcar  NIRSpec
1.388578e+00  1.735722e-03  3.810695e-10  1.143208e-11  boxcar  NIRSpec
1.392054e+00  1.740067e-03  3.821907e-10  1.146572e-11  boxcar  NIRSpec
1.395539e+00  1.744422e-03  3.843624e-10  1.153087e-11  boxcar  NIRSpec
1.399032e+00  1.748789e-03  3.867771e-10  1.160331e-11  boxcar  NIRSpec
1.402534e+00  1.753166e-03  3.998412e-10  1.199524e-11  boxcar  NIRSpec
1.406044e+00  1.757555e-03  3.997918e-10  1.199375e-11  boxcar  NIRSpec
1.409564e+00  1.761954e-03  3.836877e-10  1.151063e-11  boxcar  NIRSpec
1.413092e+00  1.766364e-03  3.566320e-10  1.069896e-11  boxcar  NIRSpec
1.416629e+00  1.770786e-03  3.655539e-10  1.096662e-11  boxcar  NIRSpec
1.420175e+00  1.775218e-03  3.592973e-10  1.077892e-11  boxcar  NIRSpec
1.423730e+00  1.779662e-03  3.850981e-10  1.155294e-11  boxcar  NIRSpec
1.427294e+00  1.784117e-03  3.547495e-10  1.064249e-11  boxcar  NIRSpec
1.430867e+00  1.788583e-03  3.632619e-10  1.089786e-11  boxcar  NIRSpec
1.434448e+00  1.793060e-03  3.423625e-10  1.027088e-11  boxcar  NIRSpec
1.438039e+00  1.797548e-03  4.157268e-10  1.247180e-11  boxcar  NIRSpec
1.481834e+00  1.852291e-03  4.199780e-10  1.259934e-11  boxcar  NIRSpec
