# Average Spectral response curve for JWST MIRI F1800W

#Detector Type
Photon counter

# Wave (microns)     Filter Response
15.0300 0.0001
15.0360 0.0001
15.0420 0.0001
15.0480 0.0001
15.0530 0.0001
15.0590 0.0001
15.0650 0.0001
15.0710 0.0001
15.0770 0.0001
15.0820 0.0001
15.0880 0.0001
15.0940 0.0002
15.1000 0.0002
15.1060 0.0002
15.1110 0.0002
15.1170 0.0002
15.1230 0.0002
15.1290 0.0002
15.1350 0.0002
15.1400 0.0002
15.1460 0.0002
15.1520 0.0002
15.1580 0.0002
15.1640 0.0002
15.1690 0.0002
15.1750 0.0002
15.1810 0.0002
15.1870 0.0002
15.1930 0.0002
15.1980 0.0002
15.2040 0.0001
15.2100 0.0001
15.2160 0.0001
15.2220 0.0001
15.2270 0.0001
15.2330 0.0001
15.2390 0.0001
15.2450 0.0001
15.2510 0.0001
15.2560 0.0001
15.2620 0.0001
15.2680 0.0001
15.2740 0.0001
15.2800 0.0001
15.2850 0.0001
15.2910 0.0001
15.2970 0.0001
15.3030 0.0001
15.3090 0.0001
15.3140 0.0001
15.3200 0.0001
15.3260 0.0001
15.3320 0.0002
15.3380 0.0002
15.3430 0.0002
15.3490 0.0002
15.3550 0.0002
15.3610 0.0001
15.3670 0.0001
15.3720 0.0001
15.3780 0.0001
15.3840 0.0001
15.3900 0.0001
15.3960 0.0001
15.4010 0.0001
15.4070 0.0001
15.4130 0.0001
15.4190 0.0001
15.4250 0.0001
15.4300 0.0001
15.4360 0.0001
15.4420 0.0001
15.4480 0.0001
15.4540 0.0001
15.4590 0.0001
15.4650 0.0001
15.4710 0.0001
15.4770 0.0001
15.4830 0.0001
15.4880 0.0001
15.4940 0.0001
15.5000 0.0001
15.5060 0.0001
15.5120 0.0001
15.5170 0.0001
15.5230 0.0001
15.5290 0.0001
15.5350 0.0001
15.5410 0.0001
15.5460 0.0001
15.5520 0.0001
15.5580 0.0001
15.5640 0.0001
15.5700 0.0001
15.5750 0.0001
15.5810 0.0001
15.5870 0.0001
15.5930 0.0001
15.5990 0.0001
15.6040 0.0002
15.6100 0.0002
15.6160 0.0002
15.6220 0.0002
15.6280 0.0002
15.6330 0.0002
15.6390 0.0002
15.6450 0.0003
15.6510 0.0003
15.6570 0.0003
15.6620 0.0003
15.6680 0.0003
15.6740 0.0004
15.6800 0.0004
15.6860 0.0004
15.6910 0.0005
15.6970 0.0005
15.7030 0.0005
15.7090 0.0005
15.7150 0.0006
15.7200 0.0006
15.7260 0.0006
15.7320 0.0006
15.7380 0.0007
15.7440 0.0007
15.7490 0.0007
15.7550 0.0007
15.7610 0.0007
15.7670 0.0008
15.7730 0.0008
15.7780 0.0008
15.7840 0.0008
15.7900 0.0008
15.7960 0.0009
15.8020 0.0009
15.8070 0.0009
15.8130 0.0009
15.8190 0.0009
15.8250 0.0010
15.8310 0.0010
15.8360 0.0010
15.8420 0.0011
15.8480 0.0011
15.8540 0.0011
15.8600 0.0012
15.8650 0.0012
15.8710 0.0012
15.8770 0.0013
15.8830 0.0013
15.8890 0.0014
15.8940 0.0014
15.9000 0.0015
15.9060 0.0016
15.9120 0.0016
15.9180 0.0017
15.9230 0.0018
15.9290 0.0018
15.9350 0.0019
15.9410 0.0020
15.9470 0.0021
15.9520 0.0021
15.9580 0.0022
15.9640 0.0023
15.9700 0.0024
15.9760 0.0025
15.9810 0.0026
15.9870 0.0027
15.9930 0.0028
15.9990 0.0029
16.0050 0.0030
16.0100 0.0031
16.0160 0.0032
16.0220 0.0034
16.0280 0.0035
16.0340 0.0037
16.0390 0.0038
16.0450 0.0040
16.0510 0.0041
16.0570 0.0043
16.0630 0.0045
16.0680 0.0047
16.0740 0.0049
16.0800 0.0051
16.0860 0.0053
16.0920 0.0056
16.0970 0.0058
16.1030 0.0061
16.1090 0.0064
16.1150 0.0066
16.1210 0.0069
